,ga:landingPagePath,ga:date,ga:source,ga:country,ga:deviceCategory,ga:users,ga:newUsers,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:avgSessionDuration,ga:totalEvents
133,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=conversion-upselling-and-cross-selling&surface_inter_position=1&surface_intra_position=2&surface_type=subcategory,20220518,admin,Netherlands,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
134,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=Promo&surface_inter_position=3&surface_intra_position=7&surface_type=search,20220526,(direct),Netherlands,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
135,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=12x&surface_inter_position=1&surface_intra_position=4&surface_type=search,20220516,(direct),Brazil,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
136,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,20220527,(direct),Brazil,desktop,1.0,1.0,1.0,0.0,1.0,29.0,1.0
137,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=cart+upsell&surface_inter_position=1&surface_intra_position=18&surface_type=search,20220530,(direct),Brazil,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
138,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=cart+upsell&surface_inter_position=2&surface_intra_position=18&surface_type=search,20220506,landing page,Brazil,desktop,1.0,0.0,2.0,0.0,1.0,240.5,2.0
139,/discos-smart-bogo-cart-upsell?locale=tr,20220515,admin,Turkey,desktop,1.0,0.0,1.0,0.0,2.0,22.0,0.0
140,/discos-smart-bogo-cart-upsell?locale=tr,20220527,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
141,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=10&surface_type=search,20220511,(direct),Turkey,desktop,1.0,1.0,1.0,0.0,2.0,77.0,1.0
142,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,20220602,(direct),Turkey,desktop,1.0,1.0,1.0,0.0,1.0,25.0,1.0
143,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=conversion&surface_inter_position=2&surface_intra_position=17&surface_type=category,20220526,website,Turkey,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
144,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=conversion&surface_inter_position=2&surface_intra_position=17&surface_type=category,20220530,website,Turkey,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
145,/discos-smart-bogo-cart-upsell?locale=zh-CN,20220513,admin,Taiwan,desktop,1.0,0.0,1.0,0.0,1.0,52.0,1.0
146,/discos-smart-bogo-cart-upsell?locale=zh-CN,20220513,admin,United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
147,/discos-smart-bogo-cart-upsell?locale=zh-CN,20220516,(direct),Hong Kong,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
148,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=bogo+bundle&surface_inter_position=2&surface_intra_position=8&surface_type=search,20220528,website,Hong Kong,mobile,1.0,0.0,1.0,0.0,2.0,210.0,0.0
149,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=bogo+onpage&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220528,(direct),Hong Kong,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
150,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=cart upsell&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220525,(direct),China,desktop,1.0,1.0,2.0,100.0,1.0,0.0,0.0
151,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=conversion&surface_inter_position=1&surface_intra_position=31&surface_type=collection,20220518,(direct),China,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
152,/discos-smart-bogo-cart-upsell?locale=zh-TW&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=10&surface_type=search,20220510,l.facebook.com,Taiwan,desktop,1.0,0.0,1.0,0.0,2.0,141.0,1.0
153,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220506,(direct),Vietnam,desktop,1.0,1.0,1.0,0.0,2.0,429.0,0.0
154,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220506,lm.facebook.com,India,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
155,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220511,getresponse,Vietnam,desktop,1.0,0.0,3.0,33.33333333333333,2.3333333333333335,477.3333333333333,0.0
156,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220511,landing page,Hungary,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
157,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220512,admin,Vietnam,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
158,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220518,admin,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
159,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220519,lm.facebook.com,Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
160,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220525,slack_partner_leauge,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
161,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220526,website,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
162,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220527,getresponse,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,6.0,0.0
163,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220528,google,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,17.0,0.0
164,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220528,website,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
165,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220529,website,Vietnam,desktop,1.0,0.0,2.0,50.0,1.5,125.0,2.0
166,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220530,(direct),Singapore,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
167,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220530,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
168,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220530,website,Vietnam,desktop,1.0,0.0,1.0,0.0,1.0,2.0,1.0
169,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220601,(direct),Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
170,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220601,google,Vietnam,desktop,2.0,0.0,3.0,66.66666666666666,1.3333333333333333,2.6666666666666665,0.0
171,/discos-smart-bogo-cart-upsell?st_source=autocomplete,20220602,(direct),Philippines,desktop,1.0,0.0,1.0,0.0,1.0,2.0,1.0
172,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0_us18ctBu71s8xDyCkAePAL-S7lCDBDe8zhMjDZKfWOz-Z1BjwDQm7nE,20220506,facebook.com,Indonesia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
173,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0aCF27ZjIGU7sN3XSXcTcqD9jbwLVnkUALQsY2QTUcvvx0auficiGV_DY,20220506,m.facebook.com,Belgium,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
174,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0aEFsezezU9-a3wIaZ5SJflqQtoSAkOUm4w_3R8SFgq2O1jJ1hLhHnskQ,20220514,facebook.com,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
175,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0aKozuhXimkk5CGHFUa9U0RoXjQzMQX548CyVsADQxSa-EHiQV0HSfuzQ,20220509,l.facebook.com,Australia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
176,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0gUdk1kKaXYCIm_Zy7guMH-9DcK-mwSb93Um6UYXANairkjXXi-B0HGrA,20220506,m.facebook.com,Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
177,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0JrTmZpgX53f9lsnCHMahR2vEV9Mwg6Iayqs7arkppcy0Q0g6FT4s3tUY,20220508,m.facebook.com,Finland,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
178,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR0qcyevN38uX6VHB7rCwYXyNVgldC5OBC1WNCA7cHScr32xc0SPxcR2yvo,20220510,l.facebook.com,India,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
179,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR1853vJ54DJBMIP2u-ycfLgpEvq4BhaLRgMF7ra-WQfk8ZVjacryTm2yco,20220518,m.facebook.com,Egypt,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
180,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR1ccw9wZHxHBecHbu9OKSlSgMU8YlybKqrra11VUqUHsevrQwp6ZobtQUU,20220508,m.facebook.com,United Kingdom,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
181,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR1V79KMQeWB5Jef4WZdEYI7kFOkfSlh-Zvuh7ViosmRkHtSg_5vesTgJBU,20220508,m.facebook.com,United States,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
182,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR2tDdRJtSZ5cvb5W1PqLkpy5GVYPZoIbCOguMs6qMlABDUblmJmYkqVIY4,20220506,m.facebook.com,Egypt,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
183,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR3mqL7j6W9dHEp3DzzQvqVD5fGggAR9dmRqgrXAhOgAodZhhybv7TzH9sU,20220506,m.facebook.com,Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
184,/discos-smart-bogo-cart-upsell?st_source=autocomplete&fbclid=IwAR3ro1RO-A-yT4z27PH5eRByoSX__ipwbfIpOTjK-IW51Lu9EnDPBQqx5hM,20220506,l.facebook.com,India,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
185,/discos-smart-bogo-cart-upsell?st_source=email_EF3-5-1,20220513,getresponse,Vietnam,desktop,1.0,0.0,1.0,0.0,9.0,1263.0,0.0
186,/discos-smart-bogo-cart-upsell?st_source=email_EP5-1-1,20220511,getresponse,Vietnam,desktop,1.0,0.0,1.0,0.0,7.0,1954.0,0.0
187,/discos-smart-bogo-cart-upsell?st_source=email_EP5-1-1,20220513,(direct),United States,desktop,3.0,3.0,3.0,100.0,1.0,0.0,0.0
188,/discos-smart-bogo-cart-upsell?surface_detail=all&surface_inter_position=2&surface_intra_position=10&surface_type=category,20220505,landing page,India,desktop,1.0,0.0,1.0,0.0,2.0,322.0,0.0
189,/discos-smart-bogo-cart-upsell?surface_detail=all&surface_inter_position=3&surface_intra_position=24&surface_type=category,20220510,(direct),India,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
190,/discos-smart-bogo-cart-upsell?surface_detail=all&surface_inter_position=9&surface_intra_position=9&surface_type=category,20220525,(direct),Bangladesh,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
191,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=11&surface_type=search,20220516,(direct),United States,desktop,1.0,1.0,2.0,100.0,1.0,0.0,0.0
192,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220516,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
193,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220517,(direct),Philippines,desktop,1.0,1.0,1.0,0.0,1.0,24.0,1.0
194,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220525,slack_partner_leauge,New Zealand,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
195,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220530,(direct),Australia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
196,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220601,(direct),United States,desktop,1.0,1.0,1.0,0.0,1.0,19.0,1.0
197,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220526,(direct),United States,mobile,1.0,1.0,1.0,0.0,1.0,32.0,1.0
198,/discos-smart-bogo-cart-upsell?surface_detail=BOGO&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220601,(direct),Saudi Arabia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
199,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220513,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
200,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220516,(direct),India,desktop,1.0,1.0,1.0,0.0,1.0,11.0,1.0
201,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220601,(direct),Vietnam,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
202,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220602,(direct),United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
203,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220511,(direct),Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
204,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220512,(direct),Indonesia,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
205,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220512,(direct),Vietnam,mobile,1.0,0.0,2.0,100.0,1.0,0.0,0.0
206,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=13&surface_type=search,20220513,(direct),Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
207,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220512,(direct),Indonesia,desktop,1.0,1.0,1.0,0.0,1.0,39.0,1.0
208,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220516,google,Vietnam,desktop,1.0,0.0,1.0,0.0,8.0,345.0,5.0
209,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220517,l.facebook.com,Latvia,desktop,1.0,0.0,1.0,0.0,3.0,2405.0,3.0
210,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220517,l.facebook.com,Turkey,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
211,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220525,website,United States,desktop,1.0,0.0,1.0,0.0,1.0,23.0,1.0
212,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220602,(direct),Philippines,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
213,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=14&surface_type=search,20220602,(direct),Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,8.0,0.0
214,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220513,getresponse,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
215,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220514,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
216,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220526,(direct),Hong Kong,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
217,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220526,(direct),Mexico,desktop,1.0,1.0,1.0,0.0,1.0,41.0,1.0
218,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220527,(direct),Singapore,desktop,1.0,1.0,1.0,0.0,1.0,1732.0,1.0
219,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220527,website,India,desktop,1.0,0.0,1.0,0.0,1.0,27.0,1.0
220,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220527,website,Vietnam,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
221,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220528,website,India,desktop,1.0,0.0,1.0,0.0,1.0,207.0,1.0
222,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220529,(direct),United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
223,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220530,website,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
224,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220531,(direct),Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
225,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220531,landing page,Vietnam,desktop,1.0,0.0,1.0,0.0,6.0,2061.0,0.0
226,/discos-smart-bogo-cart-upsell?surface_detail=BOGO&surface_inter_position=1&surface_intra_position=15&surface_type=search,20220528,(direct),Panama,desktop,1.0,1.0,1.0,0.0,1.0,36.0,1.0
227,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=16&surface_type=search,20220511,(direct),Vietnam,desktop,1.0,0.0,2.0,50.0,2.5,926.5,0.0
228,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=16&surface_type=search,20220512,admin,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
229,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=16&surface_type=search,20220512,google,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,438.0,0.0
230,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=16&surface_type=search,20220510,(direct),Vietnam,mobile,1.0,0.0,1.0,100.0,1.0,0.0,0.0
231,/discos-smart-bogo-cart-upsell?surface_detail=Bogo&surface_inter_position=1&surface_intra_position=16&surface_type=search&fbclid=IwAR3Mi_7zhI43ahWnVgiGtCVr6ShpUrdlSp1EhYz8SzdGoCW_zS0JpE3PDkI,20220510,l.facebook.com,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,51.0,0.0
232,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=18&surface_type=search,20220511,(direct),Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
233,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=19&surface_type=search,20220510,(direct),Vietnam,desktop,1.0,0.0,4.0,100.0,1.0,0.0,0.0
234,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=19&surface_type=search,20220511,(direct),United States,desktop,2.0,1.0,2.0,50.0,1.0,215.0,1.0
235,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=1&surface_intra_position=20&surface_type=search,20220510,(direct),United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
236,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=2&surface_intra_position=4&surface_type=search,20220505,(direct),Vietnam,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
237,/discos-smart-bogo-cart-upsell?surface_detail=bogo&surface_inter_position=2&surface_intra_position=7&surface_type=search,20220505,getresponse,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,454.0,0.0
